images,1_kitchen,2_car-inside,3_house,4_floor-cleaner,5_car-front-seat,6_bag,7_coffee,8_instrument,9_furniture,10_boat
P001,0,0,1,0,1,,0,1,,0
P003,1,0,1,0,0,1,1,1,0,0
P004,1,0,1,0,1,0,1,1,0,0
P009,1,1,0,1,1,1,1,0,0,0
P010,1,1,0,0,1,0,1,1,1,0
P011,1,0,1,1,1,1,1,1,1,1
P012,0,1,0,0,1,1,0,1,0,0
P013,1,0,0,1,1,1,1,0,0,0
P014,1,0,0,1,1,0,1,0,1,0
P015,1,1,1,0,0,0,0,1,1,1
P016,1,1,0,1,1,0,1,1,0,1
P018,1,1,0,0,1,1,1,1,0,0
P020,1,1,1,1,0,0,1,1,0,0
P021,0,0,0,0,1,0,1,0,1,0
P023,1,1,1,0,0,0,0,0,1,0
P024,1,0,1,0,1,1,0,1,1,0
P025,1,1,0,1,1,0,1,1,1,0
P026,,1,0,1,1,0,1,1,0,1
P027,1,1,1,0,0,1,0,1,1,1
P028,0,1,1,0,1,1,0,0,0,0
P029,0,1,1,0,1,1,1,0,0,1
P030,1,1,1,1,1,1,1,0,0,1